id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 191302306 ,84911fc2-5aba-11e8-911c-28924ad12c5c,   -2.777000 ,  -48.111000 ,2016-01-03 16:23:00,Brasil,PARÁ,TOMÉ-AÇU,Amazônia
 191302308 ,84911fc3-5aba-11e8-911c-28924ad12c5c,   -1.144000 ,  -46.134000 ,2016-01-03 16:23:00,Brasil,PARÁ,VISEU,Amazônia
 191389903 ,8491a44e-5aba-11e8-911c-28924ad12c5c,   -2.453000 ,  -47.029000 ,2016-01-04 17:06:00,Brasil,PARÁ,NOVA ESPERANÇA DO PIRIÁ,Amazônia
 191389904 ,8491a44f-5aba-11e8-911c-28924ad12c5c,   -2.138000 ,  -47.343000 ,2016-01-04 17:06:00,Brasil,PARÁ,CAPITÃO POÇO,Amazônia
 191389905 ,8491a450-5aba-11e8-911c-28924ad12c5c,   -3.176000 ,  -51.183000 ,2016-01-04 17:06:00,Brasil,PARÁ,PACAJÁ,Amazônia
 191666747 ,8491a54b-5aba-11e8-911c-28924ad12c5c,   -2.876000 ,  -54.182000 ,2016-01-07 17:37:00,Brasil,PARÁ,SANTARÉM,Amazônia
 191666748 ,8491a54c-5aba-11e8-911c-28924ad12c5c,   -1.828000 ,  -55.354000 ,2016-01-07 17:37:00,Brasil,PARÁ,ÓBIDOS,Amazônia
 191666750 ,8491a54e-5aba-11e8-911c-28924ad12c5c,   -1.644000 ,  -54.013000 ,2016-01-07 17:37:00,Brasil,PARÁ,MONTE ALEGRE,Amazônia
 191666751 ,8491a54f-5aba-11e8-911c-28924ad12c5c,   -1.976000 ,  -55.503000 ,2016-01-07 17:37:00,Brasil,PARÁ,ÓBIDOS,Amazônia
 195546287 ,86edaf98-5aba-11e8-911c-28924ad12c5c,   -5.543000 ,  -48.435000 ,2016-02-18 16:35:00,Brasil,PARÁ,SÃO JOÃO DO ARAGUAIA,Amazônia
 195546289 ,86caee5c-5aba-11e8-911c-28924ad12c5c,   -5.545000 ,  -48.449000 ,2016-02-18 16:35:00,Brasil,PARÁ,SÃO JOÃO DO ARAGUAIA,Amazônia
 195546290 ,86caee5d-5aba-11e8-911c-28924ad12c5c,   -3.566000 ,  -47.443000 ,2016-02-18 16:35:00,Brasil,PARÁ,ULIANÓPOLIS,Amazônia
 195546291 ,86caee5e-5aba-11e8-911c-28924ad12c5c,   -5.258000 ,  -49.803000 ,2016-02-18 16:35:00,Brasil,PARÁ,ITUPIRANGA,Amazônia
 195546285 ,86edaf96-5aba-11e8-911c-28924ad12c5c,   -3.100000 ,  -47.764000 ,2016-02-18 16:35:00,Brasil,PARÁ,PARAGOMINAS,Amazônia
 195546286 ,86edaf97-5aba-11e8-911c-28924ad12c5c,   -4.216000 ,  -48.524000 ,2016-02-18 16:35:00,Brasil,PARÁ,RONDON DO PARÁ,Amazônia
 195546269 ,849436f9-5aba-11e8-911c-28924ad12c5c,   -6.684000 ,  -48.894000 ,2016-02-18 16:35:00,Brasil,PARÁ,PIÇARRA,Amazônia
 195546270 ,849436fa-5aba-11e8-911c-28924ad12c5c,   -3.927000 ,  -47.917000 ,2016-02-18 16:35:00,Brasil,PARÁ,ULIANÓPOLIS,Amazônia
 195546295 ,849436fe-5aba-11e8-911c-28924ad12c5c,   -2.730000 ,  -47.600000 ,2016-02-18 16:36:00,Brasil,PARÁ,IPIXUNA DO PARÁ,Amazônia
 195546260 ,849436f2-5aba-11e8-911c-28924ad12c5c,   -5.546000 ,  -48.442000 ,2016-02-18 16:35:00,Brasil,PARÁ,SÃO JOÃO DO ARAGUAIA,Amazônia
 195546263 ,849436f4-5aba-11e8-911c-28924ad12c5c,   -6.681000 ,  -48.878000 ,2016-02-18 16:35:00,Brasil,PARÁ,PIÇARRA,Amazônia
 195546266 ,849436f7-5aba-11e8-911c-28924ad12c5c,   -2.986000 ,  -48.031000 ,2016-02-18 16:35:00,Brasil,PARÁ,IPIXUNA DO PARÁ,Amazônia
 192920334 ,86ca5c71-5aba-11e8-911c-28924ad12c5c,   -3.391000 ,  -52.187000 ,2016-01-22 16:54:00,Brasil,PARÁ,ALTAMIRA,Amazônia
 192920335 ,86ca5c72-5aba-11e8-911c-28924ad12c5c,   -1.243000 ,  -52.082000 ,2016-01-22 16:54:00,Brasil,PARÁ,ALMEIRIM,Amazônia
 192920336 ,86ca5c73-5aba-11e8-911c-28924ad12c5c,   -1.566000 ,  -52.278000 ,2016-01-22 16:54:00,Brasil,PARÁ,PORTO DE MOZ,Amazônia
 192920369 ,86ca5c74-5aba-11e8-911c-28924ad12c5c,   -2.055000 ,  -53.299000 ,2016-01-22 16:54:00,Brasil,PARÁ,PORTO DE MOZ,Amazônia
 192920370 ,86ca5c75-5aba-11e8-911c-28924ad12c5c,   -3.430000 ,  -53.130000 ,2016-01-22 16:54:00,Brasil,PARÁ,MEDICILÂNDIA,Amazônia
 192920371 ,86ca5c77-5aba-11e8-911c-28924ad12c5c,   -3.330000 ,  -53.182000 ,2016-01-22 16:54:00,Brasil,PARÁ,MEDICILÂNDIA,Amazônia
 192919834 ,84922c72-5aba-11e8-911c-28924ad12c5c,   -1.631000 ,  -52.312000 ,2016-01-22 16:54:00,Brasil,PARÁ,PORTO DE MOZ,Amazônia
 192919835 ,84922c73-5aba-11e8-911c-28924ad12c5c,   -2.787000 ,  -47.371000 ,2016-01-22 16:54:00,Brasil,PARÁ,NOVA ESPERANÇA DO PIRIÁ,Amazônia
 192919837 ,84922c75-5aba-11e8-911c-28924ad12c5c,   -1.657000 ,  -52.776000 ,2016-01-22 16:54:00,Brasil,PARÁ,PORTO DE MOZ,Amazônia
 192919838 ,84922c76-5aba-11e8-911c-28924ad12c5c,   -3.032000 ,  -47.786000 ,2016-01-22 16:54:00,Brasil,PARÁ,PARAGOMINAS,Amazônia
 192919839 ,84922c77-5aba-11e8-911c-28924ad12c5c,   -1.681000 ,  -52.656000 ,2016-01-22 16:54:00,Brasil,PARÁ,PORTO DE MOZ,Amazônia
 192919825 ,86ca5c13-5aba-11e8-911c-28924ad12c5c,   -3.243000 ,  -50.086000 ,2016-01-22 16:54:00,Brasil,PARÁ,PORTEL,Amazônia
