id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 513081067 ,d694c6d2-afe7-3bd3-88eb-5b1e51d81eaf,   -1.116000 ,  -46.566000 ,2018-09-03 16:35:00,Brasil,PARÁ,AUGUSTO CORRÊA,Amazônia
 513081068 ,50fc96b1-f158-3cae-a756-2d2ab6cf0757,   -1.055000 ,  -46.912000 ,2018-09-03 16:35:00,Brasil,PARÁ,TRACUATEUA,Amazônia
 513081069 ,f2f9c8b9-4215-3a5a-81d7-3a62e35e9379,    -.948000 ,  -47.180000 ,2018-09-03 16:35:00,Brasil,PARÁ,PRIMAVERA,Amazônia
 513081070 ,d6a05dec-b9af-3006-92ea-d88f3d7a1d01,    -.948000 ,  -47.083000 ,2018-09-03 16:35:00,Brasil,PARÁ,PRIMAVERA,Amazônia
 513081071 ,39086c12-d48a-3b87-ab32-dde19ee8ab84,    -.944000 ,  -47.090000 ,2018-09-03 16:35:00,Brasil,PARÁ,PRIMAVERA,Amazônia
 513081072 ,9dd76f37-3605-3557-a210-bf7dd4876930,    -.943000 ,  -47.080000 ,2018-09-03 16:35:00,Brasil,PARÁ,PRIMAVERA,Amazônia
 513081073 ,93f8d94f-1391-36a5-bd2d-a78b408afd72,    -.940000 ,  -47.191000 ,2018-09-03 16:35:00,Brasil,PARÁ,PRIMAVERA,Amazônia
 513081045 ,85532b11-d7ad-38ed-b48a-0d97a4c9f68e,   -1.622000 ,  -47.961000 ,2018-09-03 16:35:00,Brasil,PARÁ,BUJARU,Amazônia
 513081046 ,9184f157-780d-3484-a949-a6340442f361,   -1.622000 ,  -47.956000 ,2018-09-03 16:35:00,Brasil,PARÁ,BUJARU,Amazônia
 513081047 ,5746a03f-16e3-3ff4-9ecf-1b866713a01f,   -1.611000 ,  -48.164000 ,2018-09-03 16:35:00,Brasil,PARÁ,BUJARU,Amazônia
 513081048 ,7f2c0036-8bfb-3282-a280-ccd2d4013c06,   -1.585000 ,  -48.411000 ,2018-09-03 16:35:00,Brasil,PARÁ,ACARÁ,Amazônia
 513081049 ,dca36c2b-62fd-3443-83e1-f36ac34216a9,   -1.583000 ,  -48.399000 ,2018-09-03 16:35:00,Brasil,PARÁ,ACARÁ,Amazônia
 513081028 ,6e1488ae-131b-34c1-8be7-1b3c87014355,   -1.816000 ,  -48.240000 ,2018-09-03 16:35:00,Brasil,PARÁ,ACARÁ,Amazônia
 513081030 ,de62a1a4-cb95-3e82-b11e-b216615ecd11,   -1.814000 ,  -48.229000 ,2018-09-03 16:35:00,Brasil,PARÁ,ACARÁ,Amazônia
 513081032 ,c7b005db-d7cf-352a-9061-d0b8409cc36b,   -1.748000 ,  -47.835000 ,2018-09-03 16:35:00,Brasil,PARÁ,SÃO DOMINGOS DO CAPIM,Amazônia
 513081033 ,41729aeb-6800-367c-a984-938f5840b8d7,   -1.730000 ,  -47.574000 ,2018-09-03 16:35:00,Brasil,PARÁ,SÃO DOMINGOS DO CAPIM,Amazônia
 513081034 ,2c718383-65e6-32dd-a971-444301b8fe82,   -1.729000 ,  -47.917000 ,2018-09-03 16:35:00,Brasil,PARÁ,CONCÓRDIA DO PARÁ,Amazônia
 513081035 ,5a3b7a66-02da-3cab-ae2b-f78f0b74f720,   -1.728000 ,  -48.130000 ,2018-09-03 16:35:00,Brasil,PARÁ,BUJARU,Amazônia
 513081036 ,e9d945ed-9826-382b-a85d-cb7dd7b131b1,   -1.699000 ,  -48.146000 ,2018-09-03 16:35:00,Brasil,PARÁ,BUJARU,Amazônia
 513081037 ,7c98ba84-8798-3060-9930-01becd6a74a2,   -1.698000 ,  -48.134000 ,2018-09-03 16:35:00,Brasil,PARÁ,BUJARU,Amazônia
 679528985 ,a076799c-a1d6-32c1-8865-8f44e7ecbd75,   -2.403000 ,  -49.370000 ,2018-11-06 16:35:00,Brasil,PARÁ,CAMETÁ,Amazônia
 679528986 ,ec951b2a-755b-3683-bfc7-a9de64fe61ab,   -2.425000 ,  -49.606000 ,2018-11-06 16:35:00,Brasil,PARÁ,CAMETÁ,Amazônia
 679528987 ,2ce89ddd-932b-3d00-8825-de59bf905e14,   -2.304000 ,  -49.160000 ,2018-11-06 16:35:00,Brasil,PARÁ,IGARAPÉ-MIRI,Amazônia
 679528988 ,57151343-1a03-33bd-bc07-92770c9f6d94,   -2.359000 ,  -49.546000 ,2018-11-06 16:35:00,Brasil,PARÁ,CAMETÁ,Amazônia
 679528989 ,92f78737-acc0-3cd8-a35c-4b481f015868,   -2.298000 ,  -49.525000 ,2018-11-06 16:35:00,Brasil,PARÁ,CAMETÁ,Amazônia
 679528990 ,c323ca8f-3e63-3f23-bce6-3d4401100082,   -2.300000 ,  -49.530000 ,2018-11-06 16:35:00,Brasil,PARÁ,CAMETÁ,Amazônia
 679528993 ,23dab285-f3d7-3506-bec2-f9c5e7bdb7c1,   -2.031000 ,  -48.841000 ,2018-11-06 16:35:00,Brasil,PARÁ,MOJU,Amazônia
 679528995 ,cba53fa2-acfa-38cb-b13f-779eca85743f,   -2.243000 ,  -50.456000 ,2018-11-06 16:35:00,Brasil,PARÁ,PORTEL,Amazônia
 679529000 ,4d32bec9-3b4a-3149-aafd-85a2d321df8f,   -2.237000 ,  -50.444000 ,2018-11-06 16:35:00,Brasil,PARÁ,PORTEL,Amazônia
 679529001 ,3e5656e1-5d2a-3c77-928d-6bb946e00bf6,   -2.240000 ,  -50.461000 ,2018-11-06 16:35:00,Brasil,PARÁ,PORTEL,Amazônia
 679528958 ,d8298d67-b41e-36e9-92b8-72c6d416f9ca,   -2.929000 ,  -49.521000 ,2018-11-06 16:35:00,Brasil,PARÁ,BAIÃO,Amazônia
 679528959 ,1032915a-062f-35b8-b89c-3aedccb70c3c,   -2.906000 ,  -49.525000 ,2018-11-06 16:35:00,Brasil,PARÁ,BAIÃO,Amazônia
 679528960 ,9548ab5e-492e-38bd-a3ea-853a92a565a0,   -2.908000 ,  -49.540000 ,2018-11-06 16:35:00,Brasil,PARÁ,BAIÃO,Amazônia
 679528962 ,e12ce720-4850-3751-83d8-1dcd18caa400,   -2.744000 ,  -48.612000 ,2018-11-06 16:35:00,Brasil,PARÁ,TAILÂNDIA,Amazônia
 679528964 ,347939aa-affe-3287-92f0-80ed35bf236c,   -2.925000 ,  -50.388000 ,2018-11-06 16:35:00,Brasil,PARÁ,PORTEL,Amazônia
 679528965 ,4723f743-2231-39ca-bdca-a22ff8c0a0b9,   -2.928000 ,  -50.406000 ,2018-11-06 16:35:00,Brasil,PARÁ,PORTEL,Amazônia
 679528949 ,5c95982e-af3a-3cc5-8e3f-bcdeecbb8ccd,   -3.353000 ,  -50.733000 ,2018-11-06 16:35:00,Brasil,PARÁ,PORTEL,Amazônia
 679528950 ,5b13a135-78ff-31ac-9640-18f5583bd9a4,   -3.355000 ,  -50.752000 ,2018-11-06 16:35:00,Brasil,PARÁ,PORTEL,Amazônia
 679528892 ,f31af1f7-68b8-300c-bc8f-be4c34a99ba1,   -6.761000 ,  -51.490000 ,2018-11-06 16:30:00,Brasil,PARÁ,TUCUMÃ,Amazônia
 679528893 ,bc72a4b8-c955-3f99-9945-7ac9c1ec50ea,   -6.755000 ,  -51.471000 ,2018-11-06 16:30:00,Brasil,PARÁ,TUCUMÃ,Amazônia
 679528896 ,f488cafe-2c36-34ce-9a45-9ac82f4505f6,   -6.811000 ,  -51.277000 ,2018-11-06 16:30:00,Brasil,PARÁ,TUCUMÃ,Amazônia
 679528897 ,7333d388-1ea2-35e5-a12c-5fa8cc4e50b8,   -6.814000 ,  -51.301000 ,2018-11-06 16:30:00,Brasil,PARÁ,TUCUMÃ,Amazônia
 679529045 ,d4e67137-ba2d-3b63-a11c-2651637f2046,   -6.242000 ,  -52.538000 ,2018-11-06 16:35:00,Brasil,PARÁ,SÃO FÉLIX DO XINGU,Amazônia
 702268544 ,fa84f84b-963a-3ae2-b38b-cfe467019f68,   -2.226000 ,  -47.862000 ,2018-11-17 16:15:00,Brasil,PARÁ,AURORA DO PARÁ,Amazônia
 702268545 ,2ea2f005-94ff-3a68-8f3e-d87d8b3ceeb7,   -2.212000 ,  -47.864000 ,2018-11-17 16:15:00,Brasil,PARÁ,AURORA DO PARÁ,Amazônia
 783654401 ,6f4a222e-9f71-3ee5-9366-8ecad3060230,   -1.927000 ,  -48.512000 ,2018-12-28 16:10:00,Brasil,PARÁ,MOJU,Amazônia
