id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 60388923 ,836f4681-5aba-11e8-911c-28924ad12c5c,   -1.446000 ,  -46.263000 ,2011-01-03 16:36:00,Brasil,PARÁ,VISEU,Amazônia
 60388919 ,836f467d-5aba-11e8-911c-28924ad12c5c,   -1.146000 ,  -46.933000 ,2011-01-03 16:36:00,Brasil,PARÁ,TRACUATEUA,Amazônia
 60388918 ,836f467c-5aba-11e8-911c-28924ad12c5c,   -1.080000 ,  -48.191000 ,2011-01-03 16:36:00,Brasil,PARÁ,SANTO ANTÔNIO DO TAUÁ,Amazônia
 60388897 ,836f4667-5aba-11e8-911c-28924ad12c5c,   -2.152000 ,  -46.449000 ,2011-01-03 16:36:00,Brasil,PARÁ,CACHOEIRA DO PIRIÁ,Amazônia
 60388896 ,836f4666-5aba-11e8-911c-28924ad12c5c,   -1.187000 ,  -46.851000 ,2011-01-03 16:36:00,Brasil,PARÁ,BRAGANÇA,Amazônia
 60388893 ,836f4664-5aba-11e8-911c-28924ad12c5c,   -1.186000 ,  -46.842000 ,2011-01-03 16:36:00,Brasil,PARÁ,BRAGANÇA,Amazônia
 60388892 ,836f4663-5aba-11e8-911c-28924ad12c5c,   -2.102000 ,  -46.988000 ,2011-01-03 16:36:00,Brasil,PARÁ,GARRAFÃO DO NORTE,Amazônia
 60388891 ,836f4662-5aba-11e8-911c-28924ad12c5c,    -.829000 ,  -47.800000 ,2011-01-03 16:36:00,Brasil,PARÁ,CURUÇÁ,Amazônia
 60388889 ,836f4660-5aba-11e8-911c-28924ad12c5c,   -2.348000 ,  -46.468000 ,2011-01-03 16:36:00,Brasil,PARÁ,CACHOEIRA DO PIRIÁ,Amazônia
 60388887 ,836f465e-5aba-11e8-911c-28924ad12c5c,   -1.400000 ,  -46.203000 ,2011-01-03 16:36:00,Brasil,PARÁ,VISEU,Amazônia
 60388883 ,836f465a-5aba-11e8-911c-28924ad12c5c,   -1.590000 ,  -47.764000 ,2011-01-03 16:36:00,Brasil,PARÁ,SÃO MIGUEL DO GUAMÁ,Amazônia
 60388875 ,836f4653-5aba-11e8-911c-28924ad12c5c,   -2.347000 ,  -46.458000 ,2011-01-03 16:36:00,Brasil,PARÁ,CACHOEIRA DO PIRIÁ,Amazônia
 60388873 ,836f4651-5aba-11e8-911c-28924ad12c5c,   -1.787000 ,  -47.124000 ,2011-01-03 16:36:00,Brasil,PARÁ,CAPITÃO POÇO,Amazônia
 60388872 ,836f4650-5aba-11e8-911c-28924ad12c5c,   -1.825000 ,  -47.118000 ,2011-01-03 16:36:00,Brasil,PARÁ,CAPITÃO POÇO,Amazônia
 60388870 ,836f464e-5aba-11e8-911c-28924ad12c5c,   -1.765000 ,  -47.205000 ,2011-01-03 16:36:00,Brasil,PARÁ,CAPITÃO POÇO,Amazônia
 60388869 ,836f464d-5aba-11e8-911c-28924ad12c5c,   -2.073000 ,  -47.126000 ,2011-01-03 16:36:00,Brasil,PARÁ,GARRAFÃO DO NORTE,Amazônia
 60388867 ,836f464b-5aba-11e8-911c-28924ad12c5c,   -1.663000 ,  -47.620000 ,2011-01-03 16:36:00,Brasil,PARÁ,SÃO DOMINGOS DO CAPIM,Amazônia
