id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 123008921 ,86b9e493-5aba-11e8-911c-28924ad12c5c,   -4.107000 ,  -54.552000 ,2013-11-13 16:54:00,Brasil,PARÁ,PLACAS,Amazônia
 124280132 ,885f4ac1-5aba-11e8-911c-28924ad12c5c,   -2.348000 ,  -48.902000 ,2013-12-06 17:01:00,Brasil,PARÁ,MOJU,Amazônia
 123949778 ,86ba7d89-5aba-11e8-911c-28924ad12c5c,   -1.618000 ,  -55.072000 ,2013-12-01 16:43:00,Brasil,PARÁ,ALENQUER,Amazônia
 123645310 ,86ba7cba-5aba-11e8-911c-28924ad12c5c,   -1.510000 ,  -52.187000 ,2013-11-25 17:20:00,Brasil,PARÁ,GURUPÁ,Amazônia
 121881075 ,86b95dbe-5aba-11e8-911c-28924ad12c5c,   -3.734000 ,  -50.461000 ,2013-10-26 17:06:00,Brasil,PARÁ,PACAJÁ,Amazônia
 121994719 ,86b9e30b-5aba-11e8-911c-28924ad12c5c,   -2.391000 ,  -49.436000 ,2013-10-28 16:54:00,Brasil,PARÁ,CAMETÁ,Amazônia
 120916067 ,86b95a4f-5aba-11e8-911c-28924ad12c5c,   -4.452000 ,  -56.054000 ,2013-10-12 16:54:00,Brasil,PARÁ,ITAITUBA,Amazônia
 120915869 ,86b8d76d-5aba-11e8-911c-28924ad12c5c,   -2.887000 ,  -48.743000 ,2013-10-12 16:54:00,Brasil,PARÁ,TAILÂNDIA,Amazônia
 120919583 ,86b95ac0-5aba-11e8-911c-28924ad12c5c,    2.099000 ,  -55.943000 ,2013-10-12 16:56:00,Brasil,PARÁ,ORIXIMINÁ,Amazônia
 119609226 ,86b84f1e-5aba-11e8-911c-28924ad12c5c,   -3.284000 ,  -52.132000 ,2013-09-26 16:54:00,Brasil,PARÁ,ALTAMIRA,Amazônia
 118755596 ,86b7a34b-5aba-11e8-911c-28924ad12c5c,   -6.747000 ,  -55.259000 ,2013-09-18 17:42:00,Brasil,PARÁ,NOVO PROGRESSO,Amazônia
 118669175 ,86b7a296-5aba-11e8-911c-28924ad12c5c,   -1.987000 ,  -50.909000 ,2013-09-17 17:00:00,Brasil,PARÁ,PORTEL,Amazônia
 117895573 ,86b71334-5aba-11e8-911c-28924ad12c5c,   -1.694000 ,  -54.729000 ,2013-09-10 16:54:00,Brasil,PARÁ,ALENQUER,Amazônia
 117894518 ,86b68e0e-5aba-11e8-911c-28924ad12c5c,   -7.660000 ,  -50.226000 ,2013-09-10 16:53:00,Brasil,PARÁ,PAU D'ARCO,Amazônia
 113244267 ,86b4319d-5aba-11e8-911c-28924ad12c5c,   -7.541000 ,  -57.663000 ,2013-08-03 17:30:00,Brasil,PARÁ,JACAREACANGA,Amazônia
 110797194 ,86b32388-5aba-11e8-911c-28924ad12c5c,   -8.765000 ,  -51.277000 ,2013-07-08 16:53:00,Brasil,PARÁ,CUMARU DO NORTE,Amazônia
 110798267 ,86b323cc-5aba-11e8-911c-28924ad12c5c,   -1.859000 ,  -50.957000 ,2013-07-08 16:55:00,Brasil,PARÁ,PORTEL,Amazônia
 110798113 ,86b323cb-5aba-11e8-911c-28924ad12c5c,   -1.416000 ,  -48.638000 ,2013-07-08 16:55:00,Brasil,PARÁ,BARCARENA,Amazônia
 125018326 ,84023cf9-5aba-11e8-911c-28924ad12c5c,   -2.010000 ,  -50.891000 ,2013-12-17 16:42:00,Brasil,PARÁ,PORTEL,Amazônia
 125018838 ,8402c527-5aba-11e8-911c-28924ad12c5c,    -.746000 ,  -48.112000 ,2013-12-17 16:43:00,Brasil,PARÁ,SÃO CAETANO DE ODIVELAS,Amazônia
 125018890 ,8402c55b-5aba-11e8-911c-28924ad12c5c,    -.745000 ,  -48.103000 ,2013-12-17 16:43:00,Brasil,PARÁ,SÃO CAETANO DE ODIVELAS,Amazônia
 124860950 ,84023bf7-5aba-11e8-911c-28924ad12c5c,   -1.584000 ,  -48.449000 ,2013-12-15 16:55:00,Brasil,PARÁ,ACARÁ,Amazônia
